type,arrLength,time,attempt
seqMulRed, 181000, 0.022340, 3
simdMulRed, 181000, 0.001496, 3
seqMul, 181000, 0.010054, 4
simdMul, 181000, 0.002114, 4
seqMulRed, 181000, 0.020529, 4
simdMulRed, 181000, 0.001504, 4
seqMul, 181000, 0.010166, 5
simdMul, 181000, 0.001825, 5
seqMulRed, 181000, 0.020405, 5
simdMulRed, 181000, 0.001587, 5
seqMul, 181000, 0.011981, 6
simdMul, 181000, 0.001830, 6
seqMulRed, 181000, 0.020140, 6
simdMulRed, 181000, 0.001771, 6
seqMul, 181000, 0.008995, 7
simdMul, 181000, 0.001800, 7
seqMulRed, 181000, 0.020489, 7
simdMulRed, 181000, 0.001496, 7
seqMul, 181000, 0.009000, 8
simdMul, 181000, 0.001787, 8
seqMulRed, 181000, 0.019697, 8
simdMulRed, 181000, 0.001491, 8
seqMul, 181000, 0.010081, 9
simdMul, 181000, 0.003994, 9
seqMulRed, 181000, 0.020662, 9
simdMulRed, 181000, 0.001516, 9
seqMul, 191000, 0.009509, 0
simdMul, 191000, 0.001884, 0
seqMulRed, 191000, 0.022292, 0
simdMulRed, 191000, 0.001576, 0
seqMul, 191000, 0.009856, 1
simdMul, 191000, 0.002181, 1
seqMulRed, 191000, 0.022559, 1
simdMulRed, 191000, 0.001577, 1
seqMul, 191000, 0.011176, 2
simdMul, 191000, 0.001936, 2
seqMulRed, 191000, 0.020780, 2
simdMulRed, 191000, 0.001573, 2
seqMul, 191000, 0.009487, 3
simdMul, 191000, 0.001884, 3
seqMulRed, 191000, 0.020754, 3
simdMulRed, 191000, 0.001567, 3
seqMul, 191000, 0.010726, 4
simdMul, 191000, 0.002384, 4
seqMulRed, 191000, 0.023138, 4
simdMulRed, 191000, 0.001686, 4
seqMul, 191000, 0.012420, 5
simdMul, 191000, 0.001924, 5
seqMulRed, 191000, 0.021807, 5
simdMulRed, 191000, 0.001657, 5
seqMul, 191000, 0.009496, 6
simdMul, 191000, 0.001888, 6
seqMulRed, 191000, 0.020793, 6
simdMulRed, 191000, 0.001570, 6
seqMul, 191000, 0.011040, 7
simdMul, 191000, 0.002021, 7
seqMulRed, 191000, 0.023238, 7
simdMulRed, 191000, 0.001762, 7
seqMul, 191000, 0.010745, 8
simdMul, 191000, 0.002090, 8
seqMulRed, 191000, 0.025102, 8
simdMulRed, 191000, 0.001859, 8
seqMul, 191000, 0.011038, 9
simdMul, 191000, 0.002366, 9
seqMulRed, 191000, 0.023273, 9
simdMulRed, 191000, 0.001775, 9
seqMul, 201000, 0.010499, 0
simdMul, 201000, 0.002250, 0
seqMulRed, 201000, 0.024013, 0
simdMulRed, 201000, 0.001771, 0
seqMul, 201000, 0.011649, 1
simdMul, 201000, 0.004206, 1
seqMulRed, 201000, 0.024595, 1
simdMulRed, 201000, 0.001769, 1
seqMul, 201000, 0.010052, 2
simdMul, 201000, 0.002012, 2
seqMulRed, 201000, 0.023530, 2
simdMulRed, 201000, 0.001759, 2
seqMul, 201000, 0.010369, 3
simdMul, 201000, 0.002158, 3
seqMulRed, 201000, 0.023158, 3
simdMulRed, 201000, 0.001701, 3
seqMul, 201000, 0.012939, 4
simdMul, 201000, 0.002146, 4
seqMulRed, 201000, 0.023236, 4
simdMulRed, 201000, 0.001656, 4
seqMul, 201000, 0.011595, 5
simdMul, 201000, 0.002524, 5
seqMulRed, 201000, 0.023357, 5
simdMulRed, 201000, 0.001665, 5
seqMul, 201000, 0.011667, 6
simdMul, 201000, 0.002182, 6
seqMulRed, 201000, 0.023894, 6
simdMulRed, 201000, 0.001704, 6
seqMul, 201000, 0.011453, 7
simdMul, 201000, 0.004115, 7
seqMulRed, 201000, 0.024524, 7
simdMulRed, 201000, 0.001902, 7
seqMul, 201000, 0.011115, 8
simdMul, 201000, 0.002055, 8
seqMulRed, 201000, 0.023896, 8
simdMulRed, 201000, 0.001765, 8
seqMul, 201000, 0.010091, 9
simdMul, 201000, 0.002005, 9
seqMulRed, 201000, 0.022888, 9
simdMulRed, 201000, 0.001660, 9
seqMul, 211000, 0.010516, 0
simdMul, 211000, 0.003770, 0
seqMulRed, 211000, 0.023055, 0
simdMulRed, 211000, 0.001746, 0
seqMul, 211000, 0.010833, 1
simdMul, 211000, 0.002098, 1
seqMulRed, 211000, 0.022949, 1
simdMulRed, 211000, 0.001737, 1
seqMul, 211000, 0.010658, 2
simdMul, 211000, 0.002166, 2
seqMulRed, 211000, 0.023107, 2
simdMulRed, 211000, 0.001744, 2
seqMul, 211000, 0.012164, 3
simdMul, 211000, 0.002116, 3
seqMulRed, 211000, 0.022946, 3
simdMulRed, 211000, 0.001744, 3
seqMul, 211000, 0.010537, 4
simdMul, 211000, 0.002079, 4
seqMulRed, 211000, 0.022951, 4
simdMulRed, 211000, 0.001731, 4
seqMul, 211000, 0.010789, 5
simdMul, 211000, 0.002288, 5
seqMulRed, 211000, 0.023678, 5
simdMulRed, 211000, 0.001806, 5
seqMul, 211000, 0.013876, 6
simdMul, 211000, 0.002434, 6
seqMulRed, 211000, 0.025556, 6
simdMulRed, 211000, 0.001831, 6
seqMul, 211000, 0.010705, 7
simdMul, 211000, 0.002176, 7
seqMulRed, 211000, 0.024337, 7
simdMulRed, 211000, 0.001739, 7
seqMul, 211000, 0.011702, 8
simdMul, 211000, 0.002296, 8
seqMulRed, 211000, 0.025418, 8
simdMulRed, 211000, 0.001918, 8
seqMul, 211000, 0.013220, 9
simdMul, 211000, 0.002289, 9
seqMulRed, 211000, 0.024559, 9
simdMulRed, 211000, 0.001878, 9
seqMul, 221000, 0.012667, 0
simdMul, 221000, 0.002330, 0
seqMulRed, 221000, 0.026405, 0
simdMulRed, 221000, 0.002014, 0
seqMul, 221000, 0.010988, 1
simdMul, 221000, 0.002196, 1
seqMulRed, 221000, 0.024081, 1
simdMulRed, 221000, 0.001818, 1
seqMul, 221000, 0.011056, 2
simdMul, 221000, 0.002205, 2
seqMulRed, 221000, 0.024343, 2
simdMulRed, 221000, 0.001828, 2
seqMul, 221000, 0.011759, 3
simdMul, 221000, 0.002198, 3
seqMulRed, 221000, 0.024080, 3
simdMulRed, 221000, 0.001823, 3
seqMul, 221000, 0.010976, 4
simdMul, 221000, 0.002180, 4
seqMulRed, 221000, 0.024089, 4
simdMulRed, 221000, 0.001817, 4
seqMul, 221000, 0.010992, 5
simdMul, 221000, 0.002186, 5
seqMulRed, 221000, 0.024054, 5
simdMulRed, 221000, 0.001844, 5
seqMul, 221000, 0.012240, 6
simdMul, 221000, 0.002411, 6
seqMulRed, 221000, 0.026664, 6
simdMulRed, 221000, 0.002116, 6
seqMul, 221000, 0.011021, 7
simdMul, 221000, 0.002178, 7
seqMulRed, 221000, 0.024033, 7
simdMulRed, 221000, 0.001817, 7
seqMul, 221000, 0.011123, 8
simdMul, 221000, 0.002188, 8
seqMulRed, 221000, 0.024814, 8
simdMulRed, 221000, 0.001830, 8
seqMul, 221000, 0.011080, 9
simdMul, 221000, 0.002180, 9
seqMulRed, 221000, 0.024197, 9
simdMulRed, 221000, 0.001958, 9
seqMul, 231000, 0.011517, 0
simdMul, 231000, 0.002307, 0
seqMulRed, 231000, 0.025168, 0
simdMulRed, 231000, 0.001899, 0
seqMul, 231000, 0.011529, 1
simdMul, 231000, 0.002277, 1
seqMulRed, 231000, 0.025139, 1
simdMulRed, 231000, 0.001904, 1
seqMul, 231000, 0.011933, 2
simdMul, 231000, 0.002295, 2
seqMulRed, 231000, 0.025259, 2
simdMulRed, 231000, 0.001910, 2
seqMul, 231000, 0.011467, 3
simdMul, 231000, 0.002331, 3
seqMulRed, 231000, 0.025208, 3
simdMulRed, 231000, 0.001901, 3
seqMul, 231000, 0.011487, 4
simdMul, 231000, 0.002284, 4
seqMulRed, 231000, 0.025229, 4
simdMulRed, 231000, 0.001929, 4
seqMul, 231000, 0.011489, 5
simdMul, 231000, 0.002291, 5
seqMulRed, 231000, 0.025135, 5
simdMulRed, 231000, 0.001903, 5
seqMul, 231000, 0.011584, 6
simdMul, 231000, 0.002282, 6
seqMulRed, 231000, 0.025180, 6
simdMulRed, 231000, 0.001905, 6
seqMul, 231000, 0.011485, 7
simdMul, 231000, 0.002283, 7
seqMulRed, 231000, 0.025121, 7
simdMulRed, 231000, 0.001916, 7
seqMul, 231000, 0.011544, 8
simdMul, 231000, 0.002312, 8
seqMulRed, 231000, 0.025291, 8
simdMulRed, 231000, 0.001905, 8
seqMul, 231000, 0.011485, 9
simdMul, 231000, 0.002356, 9
seqMulRed, 231000, 0.025191, 9
simdMulRed, 231000, 0.001904, 9
seqMul, 241000, 0.011961, 0
simdMul, 241000, 0.002432, 0
seqMulRed, 241000, 0.026279, 0
simdMulRed, 241000, 0.001986, 0
seqMul, 241000, 0.012123, 1
simdMul, 241000, 0.002387, 1
seqMulRed, 241000, 0.026271, 1
simdMulRed, 241000, 0.001981, 1
seqMul, 241000, 0.011994, 2
simdMul, 241000, 0.002380, 2
seqMulRed, 241000, 0.026318, 2
simdMulRed, 241000, 0.001983, 2
seqMul, 241000, 0.011983, 3
simdMul, 241000, 0.002631, 3
seqMulRed, 241000, 0.028333, 3
simdMulRed, 241000, 0.001989, 3
seqMul, 241000, 0.013854, 4
simdMul, 241000, 0.002430, 4
seqMulRed, 241000, 0.027060, 4
simdMulRed, 241000, 0.002001, 4
seqMul, 241000, 0.012143, 5
simdMul, 241000, 0.002386, 5
seqMulRed, 241000, 0.026244, 5
simdMulRed, 241000, 0.001991, 5
seqMul, 241000, 0.011970, 6
simdMul, 241000, 0.002420, 6
seqMulRed, 241000, 0.026205, 6
simdMulRed, 241000, 0.001984, 6
seqMul, 241000, 0.012420, 7
simdMul, 241000, 0.002434, 7
seqMulRed, 241000, 0.026307, 7
simdMulRed, 241000, 0.001987, 7
seqMul, 241000, 0.011978, 8
simdMul, 241000, 0.002374, 8
seqMulRed, 241000, 0.026269, 8
simdMulRed, 241000, 0.002009, 8
seqMul, 241000, 0.012014, 9
simdMul, 241000, 0.002387, 9
seqMulRed, 241000, 0.026491, 9
simdMulRed, 241000, 0.001986, 9
seqMul, 251000, 0.012471, 0
simdMul, 251000, 0.002483, 0
seqMulRed, 251000, 0.027290, 0
simdMulRed, 251000, 0.002072, 0
seqMul, 251000, 0.012522, 1
simdMul, 251000, 0.002519, 1
seqMulRed, 251000, 0.027350, 1
simdMulRed, 251000, 0.002064, 1
seqMul, 251000, 0.012465, 2
simdMul, 251000, 0.002476, 2
seqMulRed, 251000, 0.027455, 2
simdMulRed, 251000, 0.002066, 2
seqMul, 251000, 0.012476, 3
simdMul, 251000, 0.002484, 3
seqMulRed, 251000, 0.027320, 3
simdMulRed, 251000, 0.002062, 3
seqMul, 251000, 0.012536, 4
simdMul, 251000, 0.002484, 4
seqMulRed, 251000, 0.027275, 4
simdMulRed, 251000, 0.002061, 4
seqMul, 251000, 0.012484, 5
simdMul, 251000, 0.002480, 5
seqMulRed, 251000, 0.027345, 5
simdMulRed, 251000, 0.002064, 5
seqMul, 251000, 0.012518, 6
simdMul, 251000, 0.002529, 6
seqMulRed, 251000, 0.027286, 6
simdMulRed, 251000, 0.002066, 6
seqMul, 251000, 0.012472, 7
simdMul, 251000, 0.002482, 7
seqMulRed, 251000, 0.027525, 7
simdMulRed, 251000, 0.002065, 7
seqMul, 251000, 0.012467, 8
simdMul, 251000, 0.002494, 8
seqMulRed, 251000, 0.027266, 8
simdMulRed, 251000, 0.002096, 8
seqMul, 251000, 0.012459, 9
simdMul, 251000, 0.002486, 9
seqMulRed, 251000, 0.027370, 9
simdMulRed, 251000, 0.002121, 9
seqMul, 261000, 0.014842, 0
simdMul, 261000, 0.003172, 0
seqMulRed, 261000, 0.031746, 0
simdMulRed, 261000, 0.002400, 0
seqMul, 261000, 0.014355, 1
simdMul, 261000, 0.003187, 1
seqMulRed, 261000, 0.031499, 1
simdMulRed, 261000, 0.002286, 1
seqMul, 261000, 0.015634, 2
simdMul, 261000, 0.003157, 2
seqMulRed, 261000, 0.029190, 2
simdMulRed, 261000, 0.002162, 2
seqMul, 261000, 0.012961, 3
simdMul, 261000, 0.002588, 3
seqMulRed, 261000, 0.028387, 3
simdMulRed, 261000, 0.002151, 3
seqMul, 261000, 0.012971, 4
simdMul, 261000, 0.002578, 4
seqMulRed, 261000, 0.028521, 4
simdMulRed, 261000, 0.002322, 4
seqMul, 261000, 0.013063, 5
simdMul, 261000, 0.002583, 5
seqMulRed, 261000, 0.029013, 5
simdMulRed, 261000, 0.002150, 5
seqMul, 261000, 0.013754, 6
simdMul, 261000, 0.002619, 6
seqMulRed, 261000, 0.028515, 6
simdMulRed, 261000, 0.002154, 6
seqMul, 261000, 0.013250, 7
simdMul, 261000, 0.002597, 7
seqMulRed, 261000, 0.028377, 7
simdMulRed, 261000, 0.002152, 7
seqMul, 261000, 0.013051, 8
simdMul, 261000, 0.002571, 8
seqMulRed, 261000, 0.028576, 8
simdMulRed, 261000, 0.002147, 8
seqMul, 261000, 0.013074, 9
simdMul, 261000, 0.002643, 9
seqMulRed, 261000, 0.028551, 9
simdMulRed, 261000, 0.002159, 9
seqMul, 271000, 0.013570, 0
simdMul, 271000, 0.002689, 0
seqMulRed, 271000, 0.029588, 0
simdMulRed, 271000, 0.002230, 0
seqMul, 271000, 0.013656, 1
simdMul, 271000, 0.002758, 1
seqMulRed, 271000, 0.030410, 1
simdMulRed, 271000, 0.002828, 1
seqMul, 271000, 0.013624, 2
simdMul, 271000, 0.002728, 2
seqMulRed, 271000, 0.031206, 2
simdMulRed, 271000, 0.002232, 2
seqMul, 271000, 0.013542, 3
simdMul, 271000, 0.002696, 3
seqMulRed, 271000, 0.029497, 3
simdMulRed, 271000, 0.002231, 3
seqMul, 271000, 0.013465, 4
simdMul, 271000, 0.002676, 4
seqMulRed, 271000, 0.029542, 4
simdMulRed, 271000, 0.002240, 4
seqMul, 271000, 0.015299, 5
simdMul, 271000, 0.002702, 5
seqMulRed, 271000, 0.029483, 5
simdMulRed, 271000, 0.002232, 5
seqMul, 271000, 0.013470, 6
simdMul, 271000, 0.002676, 6
seqMulRed, 271000, 0.029534, 6
simdMulRed, 271000, 0.002236, 6
seqMul, 271000, 0.013493, 7
simdMul, 271000, 0.002679, 7
seqMulRed, 271000, 0.029517, 7
simdMulRed, 271000, 0.002228, 7
seqMul, 271000, 0.013538, 8
simdMul, 271000, 0.002681, 8
seqMulRed, 271000, 0.029613, 8
simdMulRed, 271000, 0.002244, 8
seqMul, 271000, 0.013444, 9
simdMul, 271000, 0.002677, 9
seqMulRed, 271000, 0.029675, 9
simdMulRed, 271000, 0.002227, 9
seqMul, 281000, 0.014010, 0
simdMul, 281000, 0.002786, 0
seqMulRed, 281000, 0.030620, 0
simdMulRed, 281000, 0.002303, 0
seqMul, 281000, 0.013973, 1
simdMul, 281000, 0.002803, 1
seqMulRed, 281000, 0.030574, 1
simdMulRed, 281000, 0.002327, 1
seqMul, 281000, 0.014010, 2
simdMul, 281000, 0.002779, 2
seqMulRed, 281000, 0.030591, 2
simdMulRed, 281000, 0.002313, 2
seqMul, 281000, 0.014007, 3
simdMul, 281000, 0.002815, 3
seqMulRed, 281000, 0.030572, 3
simdMulRed, 281000, 0.002302, 3
seqMul, 281000, 0.014142, 4
simdMul, 281000, 0.002777, 4
seqMulRed, 281000, 0.030598, 4
simdMulRed, 281000, 0.002312, 4
seqMul, 281000, 0.014049, 5
simdMul, 281000, 0.002787, 5
seqMulRed, 281000, 0.030529, 5
simdMulRed, 281000, 0.002324, 5
seqMul, 281000, 0.014030, 6
simdMul, 281000, 0.002799, 6
seqMulRed, 281000, 0.030556, 6
simdMulRed, 281000, 0.002318, 6
seqMul, 281000, 0.014006, 7
simdMul, 281000, 0.002781, 7
seqMulRed, 281000, 0.030625, 7
simdMulRed, 281000, 0.002310, 7
seqMul, 281000, 0.014048, 8
simdMul, 281000, 0.002790, 8
seqMulRed, 281000, 0.030630, 8
simdMulRed, 281000, 0.002329, 8
seqMul, 281000, 0.014091, 9
simdMul, 281000, 0.002790, 9
seqMulRed, 281000, 0.030663, 9
simdMulRed, 281000, 0.002329, 9
seqMul, 291000, 0.014507, 0
simdMul, 291000, 0.002872, 0
seqMulRed, 291000, 0.031696, 0
simdMulRed, 291000, 0.002385, 0
seqMul, 291000, 0.014511, 1
simdMul, 291000, 0.002884, 1
seqMulRed, 291000, 0.031839, 1
simdMulRed, 291000, 0.002395, 1
seqMul, 291000, 0.014498, 2
simdMul, 291000, 0.002944, 2
seqMulRed, 291000, 0.031741, 2
simdMulRed, 291000, 0.002402, 2
seqMul, 291000, 0.014513, 3
simdMul, 291000, 0.002894, 3
seqMulRed, 291000, 0.031735, 3
simdMulRed, 291000, 0.002401, 3
seqMul, 291000, 0.014486, 4
simdMul, 291000, 0.002886, 4
seqMulRed, 291000, 0.031716, 4
simdMulRed, 291000, 0.002398, 4
seqMul, 291000, 0.014522, 5
simdMul, 291000, 0.002884, 5
seqMulRed, 291000, 0.031690, 5
simdMulRed, 291000, 0.002399, 5
seqMul, 291000, 0.014505, 6
simdMul, 291000, 0.002899, 6
seqMulRed, 291000, 0.031722, 6
simdMulRed, 291000, 0.002396, 6
seqMul, 291000, 0.014493, 7
simdMul, 291000, 0.002933, 7
seqMulRed, 291000, 0.031801, 7
simdMulRed, 291000, 0.002403, 7
seqMul, 291000, 0.014477, 8
simdMul, 291000, 0.002890, 8
seqMulRed, 291000, 0.031732, 8
simdMulRed, 291000, 0.002397, 8
seqMul, 291000, 0.014520, 9
simdMul, 291000, 0.002884, 9
seqMulRed, 291000, 0.031700, 9
simdMulRed, 291000, 0.002403, 9
seqMul, 301000, 0.015012, 0
simdMul, 301000, 0.002991, 0
seqMulRed, 301000, 0.032912, 0
simdMulRed, 301000, 0.002482, 0
seqMul, 301000, 0.014988, 1
simdMul, 301000, 0.002985, 1
seqMulRed, 301000, 0.032908, 1
simdMulRed, 301000, 0.002512, 1
seqMul, 301000, 0.015041, 2
simdMul, 301000, 0.002995, 2
seqMulRed, 301000, 0.032774, 2
simdMulRed, 301000, 0.002485, 2
seqMul, 301000, 0.015069, 3
simdMul, 301000, 0.003007, 3
seqMulRed, 301000, 0.032788, 3
simdMulRed, 301000, 0.002481, 3
seqMul, 301000, 0.015036, 4
simdMul, 301000, 0.003011, 4
seqMulRed, 301000, 0.032750, 4
simdMulRed, 301000, 0.002481, 4
seqMul, 301000, 0.015021, 5
simdMul, 301000, 0.002977, 5
seqMulRed, 301000, 0.032851, 5
simdMulRed, 301000, 0.002517, 5
seqMul, 301000, 0.015150, 6
simdMul, 301000, 0.003014, 6
seqMulRed, 301000, 0.033208, 6
simdMulRed, 301000, 0.002488, 6
seqMul, 301000, 0.014976, 7
simdMul, 301000, 0.002997, 7
seqMulRed, 301000, 0.034563, 7
simdMulRed, 301000, 0.002490, 7
seqMul, 301000, 0.014989, 8
simdMul, 301000, 0.003006, 8
seqMulRed, 301000, 0.032766, 8
simdMulRed, 301000, 0.002465, 8
seqMul, 301000, 0.015011, 9
simdMul, 301000, 0.002980, 9
seqMulRed, 301000, 0.032950, 9
simdMulRed, 301000, 0.002477, 9
seqMul, 311000, 0.017234, 0
simdMul, 311000, 0.003160, 0
seqMulRed, 311000, 0.033923, 0
simdMulRed, 311000, 0.002570, 0
seqMul, 311000, 0.015535, 1
simdMul, 311000, 0.003083, 1
seqMulRed, 311000, 0.033881, 1
simdMulRed, 311000, 0.002717, 1
seqMul, 311000, 0.015497, 2
simdMul, 311000, 0.003101, 2
seqMulRed, 311000, 0.033949, 2
simdMulRed, 311000, 0.002575, 2
seqMul, 311000, 0.015517, 3
simdMul, 311000, 0.003112, 3
seqMulRed, 311000, 0.033902, 3
simdMulRed, 311000, 0.002599, 3
seqMul, 311000, 0.015503, 4
simdMul, 311000, 0.003094, 4
seqMulRed, 311000, 0.033892, 4
simdMulRed, 311000, 0.002567, 4
seqMul, 311000, 0.015524, 5
simdMul, 311000, 0.003091, 5
seqMulRed, 311000, 0.033925, 5
simdMulRed, 311000, 0.002579, 5
seqMul, 311000, 0.015521, 6
simdMul, 311000, 0.003111, 6
seqMulRed, 311000, 0.033878, 6
simdMulRed, 311000, 0.002568, 6
seqMul, 311000, 0.015486, 7
simdMul, 311000, 0.003093, 7
seqMulRed, 311000, 0.033890, 7
simdMulRed, 311000, 0.002575, 7
seqMul, 311000, 0.015491, 8
simdMul, 311000, 0.003082, 8
seqMulRed, 311000, 0.033921, 8
simdMulRed, 311000, 0.002564, 8
seqMul, 311000, 0.015496, 9
simdMul, 311000, 0.003085, 9
seqMulRed, 311000, 0.033897, 9
simdMulRed, 311000, 0.002566, 9
