type,arrLength,time,attempt
seqMulRed, 31000, 0.003499, 6
simdMulRed, 31000, 0.000267, 6
seqMul, 31000, 0.001545, 7
simdMul, 31000, 0.000312, 7
seqMulRed, 31000, 0.003402, 7
simdMulRed, 31000, 0.000262, 7
seqMul, 31000, 0.003232, 8
simdMul, 31000, 0.000335, 8
seqMulRed, 31000, 0.003638, 8
simdMulRed, 31000, 0.000283, 8
seqMul, 31000, 0.001544, 9
simdMul, 31000, 0.000315, 9
seqMulRed, 31000, 0.003370, 9
simdMulRed, 31000, 0.000262, 9
seqMul, 41000, 0.002043, 0
simdMul, 41000, 0.000415, 0
seqMulRed, 41000, 0.004534, 0
simdMulRed, 41000, 0.000337, 0
seqMul, 41000, 0.002045, 1
simdMul, 41000, 0.000411, 1
seqMulRed, 41000, 0.004509, 1
simdMulRed, 41000, 0.000338, 1
seqMul, 41000, 0.002458, 2
simdMul, 41000, 0.000514, 2
seqMulRed, 41000, 0.005161, 2
simdMulRed, 41000, 0.000442, 2
seqMul, 41000, 0.002053, 3
simdMul, 41000, 0.000405, 3
seqMulRed, 41000, 0.004518, 3
simdMulRed, 41000, 0.000337, 3
seqMul, 41000, 0.002048, 4
simdMul, 41000, 0.000404, 4
seqMulRed, 41000, 0.004587, 4
simdMulRed, 41000, 0.000370, 4
seqMul, 41000, 0.002067, 5
simdMul, 41000, 0.000411, 5
seqMulRed, 41000, 0.004472, 5
simdMulRed, 41000, 0.000392, 5
seqMul, 41000, 0.001986, 6
simdMul, 41000, 0.000405, 6
seqMulRed, 41000, 0.004365, 6
simdMulRed, 41000, 0.000331, 6
seqMul, 41000, 0.001969, 7
simdMul, 41000, 0.000397, 7
seqMulRed, 41000, 0.004387, 7
simdMulRed, 41000, 0.000323, 7
seqMul, 41000, 0.002166, 8
simdMul, 41000, 0.000401, 8
seqMulRed, 41000, 0.004316, 8
simdMulRed, 41000, 0.000323, 8
seqMul, 41000, 0.001964, 9
simdMul, 41000, 0.000392, 9
seqMulRed, 41000, 0.006161, 9
simdMulRed, 41000, 0.000357, 9
seqMul, 51000, 0.002474, 0
simdMul, 51000, 0.000481, 0
seqMulRed, 51000, 0.005450, 0
simdMulRed, 51000, 0.000405, 0
seqMul, 51000, 0.002437, 1
simdMul, 51000, 0.000497, 1
seqMulRed, 51000, 0.005379, 1
simdMulRed, 51000, 0.000401, 1
seqMul, 51000, 0.002540, 2
simdMul, 51000, 0.000502, 2
seqMulRed, 51000, 0.005509, 2
simdMulRed, 51000, 0.000409, 2
seqMul, 51000, 0.002558, 3
simdMul, 51000, 0.000503, 3
seqMulRed, 51000, 0.005596, 3
simdMulRed, 51000, 0.000420, 3
seqMul, 51000, 0.002556, 4
simdMul, 51000, 0.000507, 4
seqMulRed, 51000, 0.005744, 4
simdMulRed, 51000, 0.000424, 4
seqMul, 51000, 0.002524, 5
simdMul, 51000, 0.000511, 5
seqMulRed, 51000, 0.005569, 5
simdMulRed, 51000, 0.000447, 5
seqMul, 51000, 0.002527, 6
simdMul, 51000, 0.000507, 6
seqMulRed, 51000, 0.005563, 6
simdMulRed, 51000, 0.000419, 6
seqMul, 51000, 0.002533, 7
simdMul, 51000, 0.000502, 7
seqMulRed, 51000, 0.005640, 7
simdMulRed, 51000, 0.000419, 7
seqMul, 51000, 0.002664, 8
simdMul, 51000, 0.000510, 8
seqMulRed, 51000, 0.005576, 8
simdMulRed, 51000, 0.000427, 8
seqMul, 51000, 0.002535, 9
simdMul, 51000, 0.000523, 9
seqMulRed, 51000, 0.005557, 9
simdMulRed, 51000, 0.000425, 9
seqMul, 61000, 0.003032, 0
simdMul, 61000, 0.000600, 0
seqMulRed, 61000, 0.006674, 0
simdMulRed, 61000, 0.000506, 0
seqMul, 61000, 0.003028, 1
simdMul, 61000, 0.000604, 1
seqMulRed, 61000, 0.006657, 1
simdMulRed, 61000, 0.000500, 1
seqMul, 61000, 0.003072, 2
simdMul, 61000, 0.000608, 2
seqMulRed, 61000, 0.006703, 2
simdMulRed, 61000, 0.000504, 2
seqMul, 61000, 0.003059, 3
simdMul, 61000, 0.000604, 3
seqMulRed, 61000, 0.006898, 3
simdMulRed, 61000, 0.000570, 3
seqMul, 61000, 0.003355, 4
simdMul, 61000, 0.000720, 4
seqMulRed, 61000, 0.007368, 4
simdMulRed, 61000, 0.000692, 4
seqMul, 61000, 0.003032, 5
simdMul, 61000, 0.000612, 5
seqMulRed, 61000, 0.006704, 5
simdMulRed, 61000, 0.000510, 5
seqMul, 61000, 0.003005, 6
simdMul, 61000, 0.000607, 6
seqMulRed, 61000, 0.006648, 6
simdMulRed, 61000, 0.000501, 6
seqMul, 61000, 0.003043, 7
simdMul, 61000, 0.000600, 7
seqMulRed, 61000, 0.006626, 7
simdMulRed, 61000, 0.000500, 7
seqMul, 61000, 0.003091, 8
simdMul, 61000, 0.000600, 8
seqMulRed, 61000, 0.006666, 8
simdMulRed, 61000, 0.000501, 8
seqMul, 61000, 0.003053, 9
simdMul, 61000, 0.000601, 9
seqMulRed, 61000, 0.006654, 9
simdMulRed, 61000, 0.000507, 9
seqMul, 71000, 0.003585, 0
simdMul, 71000, 0.000704, 0
seqMulRed, 71000, 0.007899, 0
simdMulRed, 71000, 0.000593, 0
seqMul, 71000, 0.005650, 1
simdMul, 71000, 0.000718, 1
seqMulRed, 71000, 0.007773, 1
simdMulRed, 71000, 0.000587, 1
seqMul, 71000, 0.003533, 2
simdMul, 71000, 0.000705, 2
seqMulRed, 71000, 0.007743, 2
simdMulRed, 71000, 0.000583, 2
seqMul, 71000, 0.003895, 3
simdMul, 71000, 0.000898, 3
seqMulRed, 71000, 0.008436, 3
simdMulRed, 71000, 0.000754, 3
seqMul, 71000, 0.004042, 4
simdMul, 71000, 0.000813, 4
seqMulRed, 71000, 0.008682, 4
simdMulRed, 71000, 0.000628, 4
seqMul, 71000, 0.004236, 5
simdMul, 71000, 0.000780, 5
seqMulRed, 71000, 0.008560, 5
simdMulRed, 71000, 0.000598, 5
seqMul, 71000, 0.003819, 6
simdMul, 71000, 0.000794, 6
seqMulRed, 71000, 0.008258, 6
simdMulRed, 71000, 0.000594, 6
seqMul, 71000, 0.004020, 7
simdMul, 71000, 0.000880, 7
seqMulRed, 71000, 0.008381, 7
simdMulRed, 71000, 0.000801, 7
seqMul, 71000, 0.004200, 8
simdMul, 71000, 0.000750, 8
seqMulRed, 71000, 0.008219, 8
simdMulRed, 71000, 0.000608, 8
seqMul, 71000, 0.005329, 9
simdMul, 71000, 0.000716, 9
seqMulRed, 71000, 0.007957, 9
simdMulRed, 71000, 0.000643, 9
seqMul, 81000, 0.004625, 0
simdMul, 81000, 0.000997, 0
seqMulRed, 81000, 0.008893, 0
simdMulRed, 81000, 0.000671, 0
seqMul, 81000, 0.004124, 1
simdMul, 81000, 0.000817, 1
seqMulRed, 81000, 0.009458, 1
simdMulRed, 81000, 0.000818, 1
seqMul, 81000, 0.004028, 2
simdMul, 81000, 0.000811, 2
seqMulRed, 81000, 0.008867, 2
simdMulRed, 81000, 0.000687, 2
seqMul, 81000, 0.004579, 3
simdMul, 81000, 0.000810, 3
seqMulRed, 81000, 0.008874, 3
simdMulRed, 81000, 0.000683, 3
seqMul, 81000, 0.004086, 4
simdMul, 81000, 0.000812, 4
seqMulRed, 81000, 0.008903, 4
simdMulRed, 81000, 0.000681, 4
seqMul, 81000, 0.004030, 5
simdMul, 81000, 0.000873, 5
seqMulRed, 81000, 0.008815, 5
simdMulRed, 81000, 0.000674, 5
seqMul, 81000, 0.004024, 6
simdMul, 81000, 0.000807, 6
seqMulRed, 81000, 0.010543, 6
simdMulRed, 81000, 0.000678, 6
seqMul, 81000, 0.004038, 7
simdMul, 81000, 0.000803, 7
seqMulRed, 81000, 0.008825, 7
simdMulRed, 81000, 0.000678, 7
seqMul, 81000, 0.004078, 8
simdMul, 81000, 0.000808, 8
seqMulRed, 81000, 0.008881, 8
simdMulRed, 81000, 0.000680, 8
seqMul, 81000, 0.004071, 9
simdMul, 81000, 0.000803, 9
seqMulRed, 81000, 0.008828, 9
simdMulRed, 81000, 0.000669, 9
seqMul, 91000, 0.004551, 0
simdMul, 91000, 0.000910, 0
seqMulRed, 91000, 0.009904, 0
simdMulRed, 91000, 0.000754, 0
seqMul, 91000, 0.004566, 1
simdMul, 91000, 0.000908, 1
seqMulRed, 91000, 0.009934, 1
simdMulRed, 91000, 0.000754, 1
seqMul, 91000, 0.004530, 2
simdMul, 91000, 0.000918, 2
seqMulRed, 91000, 0.010348, 2
simdMulRed, 91000, 0.000784, 2
seqMul, 91000, 0.004569, 3
simdMul, 91000, 0.000907, 3
seqMulRed, 91000, 0.009949, 3
simdMulRed, 91000, 0.000750, 3
seqMul, 91000, 0.004551, 4
simdMul, 91000, 0.000899, 4
seqMulRed, 91000, 0.009916, 4
simdMulRed, 91000, 0.000751, 4
seqMul, 91000, 0.004769, 5
simdMul, 91000, 0.000938, 5
seqMulRed, 91000, 0.010512, 5
simdMulRed, 91000, 0.000746, 5
seqMul, 91000, 0.004546, 6
simdMul, 91000, 0.000973, 6
seqMulRed, 91000, 0.009985, 6
simdMulRed, 91000, 0.000755, 6
seqMul, 91000, 0.004909, 7
simdMul, 91000, 0.001005, 7
seqMulRed, 91000, 0.010402, 7
simdMulRed, 91000, 0.000745, 7
seqMul, 91000, 0.005146, 8
simdMul, 91000, 0.000901, 8
seqMulRed, 91000, 0.010031, 8
simdMulRed, 91000, 0.000751, 8
seqMul, 91000, 0.004795, 9
simdMul, 91000, 0.000975, 9
seqMulRed, 91000, 0.010481, 9
simdMulRed, 91000, 0.000752, 9
seqMul, 101000, 0.005086, 0
simdMul, 101000, 0.001006, 0
seqMulRed, 101000, 0.011047, 0
simdMulRed, 101000, 0.000863, 0
seqMul, 101000, 0.005058, 1
simdMul, 101000, 0.000999, 1
seqMulRed, 101000, 0.011059, 1
simdMulRed, 101000, 0.000835, 1
seqMul, 101000, 0.005292, 2
simdMul, 101000, 0.001227, 2
seqMulRed, 101000, 0.011473, 2
simdMulRed, 101000, 0.000843, 2
seqMul, 101000, 0.005610, 3
simdMul, 101000, 0.001010, 3
seqMulRed, 101000, 0.011034, 3
simdMulRed, 101000, 0.000832, 3
seqMul, 101000, 0.005081, 4
simdMul, 101000, 0.001007, 4
seqMulRed, 101000, 0.011144, 4
simdMulRed, 101000, 0.000854, 4
seqMul, 101000, 0.005176, 5
simdMul, 101000, 0.000999, 5
seqMulRed, 101000, 0.011034, 5
simdMulRed, 101000, 0.000837, 5
seqMul, 101000, 0.005091, 6
simdMul, 101000, 0.001105, 6
seqMulRed, 101000, 0.011678, 6
simdMulRed, 101000, 0.000867, 6
seqMul, 101000, 0.005235, 7
simdMul, 101000, 0.001020, 7
seqMulRed, 101000, 0.011842, 7
simdMulRed, 101000, 0.002542, 7
seqMul, 101000, 0.005024, 8
simdMul, 101000, 0.001002, 8
seqMulRed, 101000, 0.010993, 8
simdMulRed, 101000, 0.000839, 8
seqMul, 101000, 0.005025, 9
simdMul, 101000, 0.001006, 9
seqMulRed, 101000, 0.011060, 9
simdMulRed, 101000, 0.000844, 9
seqMul, 111000, 0.005563, 0
simdMul, 111000, 0.001097, 0
seqMulRed, 111000, 0.012294, 0
simdMulRed, 111000, 0.000996, 0
seqMul, 111000, 0.005576, 1
simdMul, 111000, 0.001109, 1
seqMulRed, 111000, 0.012275, 1
simdMulRed, 111000, 0.000923, 1
seqMul, 111000, 0.005508, 2
simdMul, 111000, 0.001108, 2
seqMulRed, 111000, 0.012213, 2
simdMulRed, 111000, 0.000921, 2
seqMul, 111000, 0.005554, 3
simdMul, 111000, 0.001118, 3
seqMulRed, 111000, 0.012223, 3
simdMulRed, 111000, 0.000922, 3
seqMul, 111000, 0.005529, 4
simdMul, 111000, 0.001105, 4
seqMulRed, 111000, 0.012140, 4
simdMulRed, 111000, 0.000932, 4
seqMul, 111000, 0.005593, 5
simdMul, 111000, 0.001111, 5
seqMulRed, 111000, 0.012227, 5
simdMulRed, 111000, 0.000922, 5
seqMul, 111000, 0.005556, 6
simdMul, 111000, 0.001101, 6
seqMulRed, 111000, 0.012180, 6
simdMulRed, 111000, 0.000915, 6
seqMul, 111000, 0.005697, 7
simdMul, 111000, 0.001103, 7
seqMulRed, 111000, 0.012129, 7
simdMulRed, 111000, 0.000920, 7
seqMul, 111000, 0.005615, 8
simdMul, 111000, 0.001230, 8
seqMulRed, 111000, 0.012152, 8
simdMulRed, 111000, 0.000908, 8
seqMul, 111000, 0.005533, 9
simdMul, 111000, 0.001107, 9
seqMulRed, 111000, 0.012910, 9
simdMulRed, 111000, 0.000919, 9
seqMul, 121000, 0.006027, 0
simdMul, 121000, 0.001204, 0
seqMulRed, 121000, 0.013149, 0
simdMulRed, 121000, 0.000997, 0
seqMul, 121000, 0.006075, 1
simdMul, 121000, 0.001252, 1
seqMulRed, 121000, 0.013204, 1
simdMulRed, 121000, 0.001001, 1
seqMul, 121000, 0.006901, 2
simdMul, 121000, 0.001214, 2
seqMulRed, 121000, 0.013203, 2
simdMulRed, 121000, 0.001099, 2
seqMul, 121000, 0.006018, 3
simdMul, 121000, 0.001201, 3
seqMulRed, 121000, 0.013177, 3
simdMulRed, 121000, 0.000997, 3
seqMul, 121000, 0.006038, 4
simdMul, 121000, 0.001206, 4
seqMulRed, 121000, 0.013172, 4
simdMulRed, 121000, 0.000995, 4
seqMul, 121000, 0.006927, 5
simdMul, 121000, 0.001211, 5
seqMulRed, 121000, 0.013255, 5
simdMulRed, 121000, 0.001003, 5
seqMul, 121000, 0.006859, 6
simdMul, 121000, 0.001203, 6
seqMulRed, 121000, 0.013216, 6
simdMulRed, 121000, 0.000997, 6
seqMul, 121000, 0.006045, 7
simdMul, 121000, 0.001199, 7
seqMulRed, 121000, 0.013288, 7
simdMulRed, 121000, 0.000995, 7
seqMul, 121000, 0.006039, 8
simdMul, 121000, 0.001256, 8
seqMulRed, 121000, 0.013718, 8
simdMulRed, 121000, 0.001077, 8
seqMul, 121000, 0.006076, 9
simdMul, 121000, 0.001195, 9
seqMulRed, 121000, 0.013208, 9
simdMulRed, 121000, 0.000995, 9
seqMul, 131000, 0.006535, 0
simdMul, 131000, 0.001303, 0
seqMulRed, 131000, 0.014294, 0
simdMulRed, 131000, 0.001077, 0
seqMul, 131000, 0.006545, 1
simdMul, 131000, 0.001364, 1
seqMulRed, 131000, 0.014359, 1
simdMulRed, 131000, 0.001077, 1
seqMul, 131000, 0.006660, 2
simdMul, 131000, 0.001298, 2
seqMulRed, 131000, 0.014302, 2
simdMulRed, 131000, 0.001080, 2
seqMul, 131000, 0.006519, 3
simdMul, 131000, 0.001294, 3
seqMulRed, 131000, 0.014460, 3
simdMulRed, 131000, 0.001144, 3
seqMul, 131000, 0.006517, 4
simdMul, 131000, 0.001292, 4
seqMulRed, 131000, 0.014272, 4
simdMulRed, 131000, 0.001119, 4
seqMul, 131000, 0.006510, 5
simdMul, 131000, 0.001299, 5
seqMulRed, 131000, 0.014328, 5
simdMulRed, 131000, 0.001082, 5
seqMul, 131000, 0.006529, 6
simdMul, 131000, 0.001292, 6
seqMulRed, 131000, 0.014243, 6
simdMulRed, 131000, 0.001078, 6
seqMul, 131000, 0.006662, 7
simdMul, 131000, 0.001332, 7
seqMulRed, 131000, 0.014312, 7
simdMulRed, 131000, 0.001086, 7
seqMul, 131000, 0.006515, 8
simdMul, 131000, 0.001522, 8
seqMulRed, 131000, 0.014316, 8
simdMulRed, 131000, 0.001081, 8
seqMul, 131000, 0.006614, 9
simdMul, 131000, 0.001303, 9
seqMulRed, 131000, 0.014258, 9
simdMulRed, 131000, 0.001077, 9
seqMul, 141000, 0.007014, 0
simdMul, 141000, 0.001394, 0
seqMulRed, 141000, 0.015336, 0
simdMulRed, 141000, 0.001164, 0
seqMul, 141000, 0.007011, 1
simdMul, 141000, 0.001421, 1
seqMulRed, 141000, 0.015337, 1
simdMulRed, 141000, 0.001161, 1
seqMul, 141000, 0.007022, 2
simdMul, 141000, 0.001403, 2
seqMulRed, 141000, 0.015652, 2
simdMulRed, 141000, 0.001206, 2
seqMul, 141000, 0.007020, 3
simdMul, 141000, 0.001391, 3
seqMulRed, 141000, 0.015338, 3
simdMulRed, 141000, 0.001165, 3
seqMul, 141000, 0.007006, 4
simdMul, 141000, 0.001397, 4
seqMulRed, 141000, 0.015340, 4
simdMulRed, 141000, 0.001159, 4
seqMul, 141000, 0.007017, 5
simdMul, 141000, 0.001392, 5
seqMulRed, 141000, 0.015343, 5
simdMulRed, 141000, 0.001165, 5
seqMul, 141000, 0.008693, 6
simdMul, 141000, 0.001421, 6
