Merge sort:
Array size (n) 		 Time (ms)
0	0
10000	5
20000	11
30000	17
40000	16
50000	20
60000	21
70000	22
80000	25
90000	29
100000	33
110000	36
120000	39
130000	40
140000	44
150000	47
160000	51
170000	54
180000	59
190000	63
200000	68
210000	71
220000	74
230000	77
240000	79
250000	84
260000	82
270000	86
280000	90
290000	94
300000	97
310000	100
320000	104
330000	109
340000	111
350000	114
360000	118
370000	122
380000	125
390000	128
400000	137
410000	141
420000	145
430000	148
440000	150
450000	153
460000	158
470000	159
480000	162
490000	165
500000	168
510000	171
520000	167
530000	175
540000	176
550000	179
560000	184
570000	190
580000	196
590000	193
600000	197
610000	200
620000	204
630000	209
640000	213
650000	213
660000	222
670000	221
680000	225
690000	228
700000	230
710000	236
720000	239
730000	243
740000	247
750000	250
760000	257
770000	261
780000	261
790000	277
800000	282
810000	284
820000	288
830000	291
840000	295
850000	297
860000	303
870000	303
880000	305
890000	310
900000	311
910000	314
920000	321
930000	322
940000	325
950000	326
960000	330
970000	335
980000	338
990000	343
1000000	344
