Merge sort:
Array size (n) 		 Time (ms)
25000	11
50000	21
75000	27
100000	33
125000	40
150000	47
175000	55
200000	67
225000	73
250000	82
275000	86
300000	99
325000	102
350000	117
375000	125
400000	135
425000	143
450000	150
475000	157
500000	165
525000	168
550000	178
575000	186
600000	194
625000	201
650000	209
675000	219
700000	234
725000	251
750000	254
775000	266
800000	277
825000	282
850000	292
875000	299
900000	307
925000	313
950000	319
975000	327
1000000	335
1025000	338
1050000	341
1075000	348
1100000	358
1125000	366
1150000	380
1175000	385
1200000	388
1225000	400
1250000	408
1275000	419
1300000	437
1325000	450
1350000	493
1375000	479
1400000	475
1425000	485
1450000	512
1475000	511
1500000	518
1525000	511
1550000	515
1575000	544
1600000	560
1625000	564
1650000	581
1675000	599
1700000	603
1725000	623
1750000	626
1775000	635
1800000	629
1825000	638
1850000	645
1875000	651
1900000	656
1925000	663
1950000	675
1975000	673
2000000	681
2025000	689
2050000	700
2075000	673
2100000	691
2125000	706
2150000	719
2175000	725
2200000	722
2225000	735
2250000	742
2275000	755
2300000	761
2325000	777
2350000	780
2375000	804
2400000	795
2425000	806
2450000	815
2475000	827
2500000	839
